Id,País de origem,País de destino,Ano,Quantidade (kg/L),Valor em US$,Population Qt
115,Brasil,Suriname,2007,2700,4603,339.7450000000002
116,Brasil,Tailândia,2007,839,2020,50089.482500000006
117,Brasil,Taiwan (FORMOSA),2007,6377,11214,
118,Brasil,Tanzânia,2007,0,0,20342.743
119,Brasil,"Tcheca, República",2007,85303,189620,8475.309000000001
120,Brasil,Togo,2007,11,11,3112.5045
121,Brasil,Trinidade Tobago,2007,0,0,1019.3899999999995
122,Brasil,Tunísia,2007,0,0,7321.689000000001
123,Brasil,Turquia,2007,0,0,
124,Brasil,Tuvalu,2007,0,0,6.1010000000000035
125,Brasil,Uruguai,2007,0,0,2401.0150000000003
126,Brasil,Vanuatu,2007,0,0,121.88799999999999
127,Brasil,Venezuela,2007,20700,27370,17343.8555
128,Brasil,Vietnã,2007,0,0,
1,Brasil,Afeganistão,2008,0,0,11418.965
2,Brasil,África do Sul,2008,0,0,32351.665
3,Brasil,"Alemanha, República Democrática",2008,265742,429970,
4,Brasil,Angola,2008,25721,71083,10367.2575
5,Brasil,Anguilla,2008,0,0,9.134
6,Brasil,Antígua e Barbuda,2008,0,0,
7,Brasil,Antilhas Holandesas,2008,17938,22908,
8,Brasil,Argentina,2008,0,0,27625.629499999995
9,Brasil,Aruba,2008,0,0,73.08999999999997
10,Brasil,Austrália,2008,218726,99280,16292.316999999997
11,Brasil,Áustria,2008,0,0,6751.2155
12,Brasil,Bahamas,2008,0,0,244.85599999999997
13,Brasil,Bangladesh,2008,0,0,86430.71499999997
14,Brasil,Barbados,2008,0,0,205.68849999999995
15,Brasil,Barein,2008,0,0,827.2900000000004
16,Brasil,Bélgica,2008,3523,12969,8521.742999999997
17,Brasil,Belice,2008,0,0,173.4065
18,Brasil,Benin,2008,10350,17423,4392.955499999999
19,Brasil,Bolívia,2008,3979,3990,5714.4209999999985
20,Brasil,Bósnia-Herzegovina,2008,0,0,3157.905
21,Brasil,Brasil,2008,0,0,132826.88050000006
22,Brasil,Bulgária,2008,0,0,6380.180999999998
23,Brasil,Cabo Verde,2008,0,0,299.80400000000003
24,Brasil,Camarões,2008,0,0,9229.967000000002
25,Brasil,Canadá,2008,20949,80476,26264.423
26,Brasil,Catar,2008,0,0,1201.7135000000003
27,Brasil,"Cayman, Ilhas",2008,0,0,39.94749999999999
28,Brasil,Chile,2008,0,0,12072.708000000004
29,Brasil,China,2008,8689,25926,1016207.0765
30,Brasil,Chipre,2008,0,0,843.0369999999998
31,Brasil,Cingapura,2008,1233,4699,3863.2679999999996
32,Brasil,"Cocos (Keeling), Ilhas",2008,0,0,
33,Brasil,Colômbia,2008,0,0,28812.788000000008
34,Brasil,Comores,2008,0,0,313.95249999999993
35,Brasil,Congo,2008,0,0,2161.3614999999995
36,Brasil,"Coreia, Republica Sul",2008,3520,14366,37852.46350000001
37,Brasil,Costa do Marfim,2008,0,0,9897.309499999998
38,Brasil,Costa Rica,2008,55,200,3095.2270000000008
39,Brasil,Croácia,2008,0,0,3560.1995
40,Brasil,Cuba,2008,0,0,8744.794999999998
41,Brasil,Curaçao,2008,0,0,112.4735
42,Brasil,Dinamarca,2008,518,15905,4285.158500000001
43,Brasil,Dominica,2008,0,0,47.787000000000006
44,Brasil,El Salvador,2008,0,0,3639.8845
45,Brasil,Emirados Arabes Unidos,2008,2437,12298,5619.664999999998
46,Brasil,Equador,2008,0,0,8976.662999999997
47,Brasil,"Eslovaca, Republica",2008,585,16063,4309.759499999997
48,Brasil,Espanha,2008,2942,6834,37854.29600000001
49,Brasil,Estados Unidos,2008,443895,804607,230816.16150000007
50,Brasil,Estônia,2008,4114,9730,1087.8355000000001
51,Brasil,Filipinas,2008,0,0,53128.76450000002
52,Brasil,Finlândia,2008,0,0,4219.5785
53,Brasil,França,2008,11078,27500,48151.235
54,Brasil,Gana,2008,18168,25642,13130.957499999995
55,Brasil,Gibraltar,2008,0,0,23.677999999999994
56,Brasil,Granada,2008,0,0,
57,Brasil,Grécia,2008,0,0,9147.272500000001
58,Brasil,Guatemala,2008,0,0,7363.829499999996
59,Brasil,Guiana,2008,0,0,
60,Brasil,Guiana Francesa,2008,0,0,
61,Brasil,Guine Bissau,2008,0,0,740.4839999999997
62,Brasil,Guine Equatorial,2008,548,1417,540.9179999999998
63,Brasil,Haiti,2008,20,20,5396.8560000000025
64,Brasil,Honduras,2008,162,580,4391.572500000001
65,Brasil,Hong Kong,2008,2430,13460,
66,Brasil,Hungria,2008,0,0,8155.988500000001
67,Brasil,Ilha de Man,2008,0,0,
68,Brasil,Ilhas Virgens,2008,0,0,
69,Brasil,India,2008,0,0,749904.5655000001
70,Brasil,Indonésia,2008,0,0,
71,Brasil,Irã,2008,0,0,51605.907
72,Brasil,Iraque,2008,0,0,15049.612499999997
73,Brasil,Irlanda,2008,0,0,3369.1930000000007
74,Brasil,Itália,2008,0,0,49125.50249999997
75,Brasil,Jamaica,2008,0,0,1772.8819999999992
76,Brasil,Japão,2008,232293,178333,107312.97050000002
77,Brasil,Jordânia,2008,0,0,3714.7104999999974
78,Brasil,Letônia,2008,0,0,1762.5465
79,Brasil,Líbano,2008,0,0,3294.8829999999994
80,Brasil,Libéria,2008,0,0,1919.1964999999993
81,Brasil,Luxemburgo,2008,13606,42341,
82,Brasil,Malásia,2008,0,0,17864.934
83,Brasil,Malta,2008,0,0,333.16849999999977
84,Brasil,"Marshall, Ilhas",2008,0,0,29.339000000000027
85,Brasil,Mauritânia,2008,0,0,1610.0785000000003
86,Brasil,México,2008,0,0,69386.72700000003
87,Brasil,Moçambique,2008,0,0,
88,Brasil,Montenegro,2008,0,0,479.81000000000006
89,Brasil,Namibia,2008,340,722,1110.4660000000001
90,Brasil,Nicaragua,2008,0,0,3258.196
91,Brasil,Nigéria,2008,7560,10920,75672.61049999997
92,Brasil,Noruega,2008,0,0,3667.147999999999
93,Brasil,Nova Caledônia,2008,0,0,172.03900000000004
94,Brasil,Nova Zelândia,2008,0,0,3172.8875000000016
95,Brasil,Omã,2008,0,0,1704.3904999999997
96,Brasil,Países Baixos,2008,340412,783635,12926.339499999998
97,Brasil,Panamá,2008,1161,1882,2266.109
98,Brasil,Paraguai,2008,2191901,1374088,3336.8259999999996
99,Brasil,Peru,2008,0,0,18279.585
100,Brasil,Polônia,2008,20290,58353,31013.2675
101,Brasil,Porto Rico,2008,0,0,2812.874999999999
102,Brasil,Portugal,2008,49090,48942,8595.995
103,Brasil,Quênia,2008,0,0,19431.911499999995
104,Brasil,Reino Unido,2008,100097,155076,48420.581500000015
105,Brasil,República Dominicana,2008,0,0,5927.724
106,Brasil,Rússia,2008,6207658,2352768,116302.87750000002
107,Brasil,São Tomé e Príncipe,2008,0,0,89.2385
108,Brasil,São Vicente e Granadinas,2008,0,0,74.11649999999997
109,Brasil,Senegal,2008,0,0,5941.469000000003
110,Brasil,Serra Leoa,2008,0,0,3041.9260000000013
111,Brasil,Singapura,2008,0,0,
112,Brasil,Suazilândia,2008,0,0,
113,Brasil,Suécia,2008,26984,84564,7300.421000000003
114,Brasil,Suíça,2008,54384,216317,6187.4805000000015
115,Brasil,Suriname,2008,900,1625,344.46600000000007
116,Brasil,Tailândia,2008,0,0,50779.81200000001
117,Brasil,Taiwan (FORMOSA),2008,10030,18679,
118,Brasil,Tanzânia,2008,0,0,20896.514500000016
119,Brasil,"Tcheca, República",2008,17135,64709,8525.582499999999
120,Brasil,Togo,2008,5160,7800,3211.4395000000013
121,Brasil,Trinidade Tobago,2008,0,0,1031.6874999999998
122,Brasil,Tunísia,2008,0,0,7452.278
123,Brasil,Turquia,2008,0,0,
124,Brasil,Tuvalu,2008,0,0,6.219000000000002
125,Brasil,Uruguai,2008,0,0,2414.9194999999995
126,Brasil,Vanuatu,2008,0,0,125.997
127,Brasil,Venezuela,2008,0,0,17720.050000000007
128,Brasil,Vietnã,2008,0,0,
1,Brasil,Afeganistão,2009,0,0,11949.083999999997
2,Brasil,África do Sul,2009,0,0,32990.15600000002
3,Brasil,"Alemanha, República Democrática",2009,225086,393482,
4,Brasil,Angola,2009,54786,84235,10768.773500000005
5,Brasil,Anguilla,2009,0,0,9.316000000000004
6,Brasil,Antígua e Barbuda,2009,0,0,
7,Brasil,Antilhas Holandesas,2009,8235,10651,
8,Brasil,Argentina,2009,162,4523,28025.212499999987
9,Brasil,Aruba,2009,0,0,73.96249999999999
