Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,27044,27556,27962,28421,28657,28971,29366,29739,30060,30335,30610,30910,31122,31305,..
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,390311,396053,401506,406634,411702,416656,421437,425994,430276,434274,438048,441725,445373,449002,..
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743,6465097,..
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,15650022,16116845,16602651,17113732,17636408,18169842,18718019,19275498,19835858,20392723,20951639,21522626,22100683,22673762,..
"Population, total",SP.POP.TOTL,Burundi,BDI,8709366,9126605,9455733,9795479,10149577,10494913,10727148,10903327,11155593,11493472,11874838,12220227,12551213,12889576,..
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,515638,521212,527521,533864,539940,546076,552166,558394,564954,571202,577030,582640,587925,593149,..
"Population, total",SP.POP.TOTL,Cambodia,KHM,14155740,14363532,14573885,14786640,14999683,15210817,15417523,15624584,15830689,16025238,16207746,16396860,16589023,16767842,..
"Population, total",SP.POP.TOTL,Cameroon,CMR,19319274,19878036,20448873,21032684,21632850,22299585,23012646,23711630,24393181,25076747,25782341,26491087,27198628,27914536,..
"Population, total",SP.POP.TOTL,Canada,CAN,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36545236,37065084,37601230,38007166,38226498,38929902,..
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,52602,54074,55492,56860,58212,59559,60911,62255,63581,64884,66134,67311,68136,68706,..
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4564540,4660067,4732022,4773306,4802428,4798734,4819333,4904177,4996741,5094780,5209324,5343020,5457154,5579144,..
"Population, total",SP.POP.TOTL,Chad,TCD,11496128,11894727,12317730,12754906,13216766,13697126,14140274,14592585,15085884,15604210,16126866,16644701,17179740,17723315,..
"Population, total",SP.POP.TOTL,Channel Islands,CHI,155721,156933,157819,158621,159794,160912,162190,163721,165215,167259,169410,171113,172683,174079,..
"Population, total",SP.POP.TOTL,Chile,CHL,16833447,17004162,17173573,17341771,17509925,17687108,17870124,18083879,18368577,18701450,19039485,19300315,19493184,19603733,..
"Population, total",SP.POP.TOTL,China,CHN,1331260000,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,..
