Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,Poland,POL,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37970087,37974826,37974750,37965475,37899070,37747124,36821749,..
"Population, total",SP.POP.TOTL,Portugal,PRT,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10325452,10300300,10283822,10286263,10297081,10361831,10409704,..
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3740410,3721525,3678732,3634488,3593077,3534874,3473232,3406672,3325286,3193354,3193694,3281557,3262693,3221789,..
"Population, total",SP.POP.TOTL,Qatar,QAT,1610274,1713504,1804171,1905660,2035501,2214465,2414573,2595166,2711755,2766732,2807235,2760385,2688235,2695122,..
"Population, total",SP.POP.TOTL,Romania,ROU,20367487,20246871,20147528,20058035,19983693,19908979,19815616,19702267,19588715,19473970,19371648,19265250,19122059,19047009,..
"Population, total",SP.POP.TOTL,Russian Federation,RUS,142785349,142849468,142960908,143201721,143506995,143819667,144096870,144342397,144496739,144477859,144406261,144073139,144130482,144236933,..
"Population, total",SP.POP.TOTL,Rwanda,RWA,10043737,10309031,10576932,10840334,11101350,11368451,11642959,11930899,12230339,12531808,12835028,13146362,13461888,13776698,..
"Population, total",SP.POP.TOTL,Samoa,WSM,193176,194672,196351,198124,199939,201757,203571,205544,207630,209701,211905,214929,218764,222382,..
"Population, total",SP.POP.TOTL,San Marino,SMR,31059,31608,32495,33132,33285,33389,33570,33834,34056,34156,34178,34007,33745,33660,..
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,178128,182138,186044,189924,193757,197497,201124,204632,208036,211344,214599,218641,223107,227380,..
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,28483797,29411929,30150945,30821543,31482498,32125564,32749848,33416270,34193122,35018133,35827362,35997107,35950396,36408820,..
"Population, total",SP.POP.TOTL,Senegal,SEN,12195029,12530121,12875880,13231833,13595566,13970308,14356181,14751356,15157793,15574909,16000781,16436120,16876720,17316449,..
"Population, total",SP.POP.TOTL,Serbia,SRB,7320807,7291436,7234099,7199077,7164132,7130576,7095383,7058322,7020858,6982604,6945235,6899126,6834326,6664449,..
"Population, total",SP.POP.TOTL,Seychelles,SYC,87298,89770,87441,88303,89949,91359,93419,94677,95843,96762,97625,98462,99258,119878,..
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,6259842,6436698,6612385,6788587,6964859,7140688,7314773,7493913,7677565,7861281,8046828,8233970,8420641,8605718,..
"Population, total",SP.POP.TOTL,Singapore,SGP,4987573,5076732,5183688,5312437,5399162,5469724,5535002,5607283,5612253,5638676,5703569,5685807,5453566,5637022,..
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,34238,34056,33435,34640,36607,37685,38825,39969,40574,40895,41608,42310,42668,42848,..
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5430798,5439232,5446771,5454147,5458827,5447247,5431752,..
"Population, total",SP.POP.TOTL,Slovenia,SVN,2039669,2048583,2052843,2057159,2059953,2061980,2063531,2065042,2066388,2073894,2088385,2102419,2108079,2111986,..
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,527833,540394,553721,567763,582365,597375,612660,628102,643634,659249,674993,691191,707851,724273,..
"Population, total",SP.POP.TOTL,Somalia,SOM,11730037,12026649,12216837,12440326,12852485,13309235,13763906,14292847,14864221,15411094,15981300,16537016,17065581,17597511,..
"Population, total",SP.POP.TOTL,South Africa,ZAF,51170779,51784921,52443325,53145033,53873616,54729551,55876504,56422274,56641209,57339635,58087055,58801927,59392255,59893885,..
"Population, total",SP.POP.TOTL,South Sudan,SSD,9229227,9714419,10243050,10701604,11106031,11213284,11194299,11066105,10658226,10395329,10447666,10606227,10748272,10913164,..
"Population, total",SP.POP.TOTL,Spain,ESP,46362946,46576897,46742697,46773055,46620045,46480882,46444832,46484062,46593236,46797754,47134837,47365655,47415794,47778340,..
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,20482477,20668557,20859743,21017147,21131756,21239457,21336697,21425494,21506813,21670000,21803000,21919000,22156000,22181000,..
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47286,47403,47581,47727,47767,47789,47790,47788,47785,47761,47712,47642,47606,47657,..
"Population, total",SP.POP.TOTL,St. Lucia,LCA,169688,170935,172145,173124,173978,174804,175623,176413,177163,177888,178583,179237,179651,179857,..
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,36132,36458,36350,36026,35639,35261,35020,34811,34496,33852,33121,32553,31948,31791,..
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,109840,109308,108703,108083,107450,106912,106482,105963,105549,105281,104924,104632,104332,103948,..
"Population, total",SP.POP.TOTL,Sudan,SDN,32948155,33739933,34419624,35159792,35990704,37003245,38171178,39377169,40679828,41999059,43232093,44440486,45657202,46874204,..
"Population, total",SP.POP.TOTL,Suriname,SUR,539987,546080,552146,558111,563947,569682,575475,581453,587559,593715,600301,607065,612985,618040,..
"Population, total",SP.POP.TOTL,Sweden,SWE,9298515,9378126,9449213,9519374,9600379,9696110,9799186,9923085,10057698,10175214,10278887,10353442,10415811,10486941,..
"Population, total",SP.POP.TOTL,Switzerland,CHE,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8638167,8704546,8775760,..
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,21827220,22337563,22730733,22605577,21495821,20072232,19205178,18964252,18983373,19333463,20098251,20772595,21324367,22125249,..
"Population, total",SP.POP.TOTL,Tajikistan,TJK,7468596,7621779,7784819,7956382,8136610,8326348,8524063,8725318,8925525,9128132,9337003,9543207,9750064,9952787,..
"Population, total",SP.POP.TOTL,Tanzania,TZA,43957933,45110527,46416031,47786137,49253643,50814552,52542823,54401802,56267032,58090443,59872579,61704518,63588334,65497748,..
"Population, total",SP.POP.TOTL,Thailand,THA,67813654,68270489,68712846,69157023,69578602,69960943,70294397,70607037,70898202,71127802,71307763,71475664,71601103,71697030,..
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1065540,1088486,1112976,1137676,1161555,1184830,1205813,1224562,1243235,1261845,1280438,1299995,1320942,1341296,..
"Population, total",SP.POP.TOTL,Togo,TGO,6398624,6571855,6748672,6926635,7106229,7288383,7473229,7661354,7852795,8046679,8243094,8442580,8644829,8848699,..
"Population, total",SP.POP.TOTL,Tonga,TON,107144,107383,107611,107502,107089,106626,106122,105707,105415,105150,104951,105254,106017,106858,..
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1401191,1410296,1420020,1430377,1440729,1450661,1460177,1469330,1478607,1504709,1519955,1518147,1525663,1531044,..
"Population, total",SP.POP.TOTL,Tunisia,TUN,10784504,10895063,11032528,11174383,11300284,11428948,11557779,11685667,11811443,11933041,12049314,12161723,12262946,12356117,..
"Population, total",SP.POP.TOTL,Turkiye,TUR,72039206,73142150,74223629,75175827,76147624,77181884,78218479,79277962,80312698,81407204,82579440,83384680,84147318,84979913,..
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5180957,5267970,5360811,5458682,5560095,5663152,5766431,5868561,5968383,6065066,6158420,6250438,6341855,6430770,..
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,28581,29726,30816,32081,33594,34985,36538,38246,39844,41487,43080,44276,45114,45703,..
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10408,10550,10700,10854,10918,10899,10877,10852,10828,10865,10956,11069,11204,11312,..
"Population, total",SP.POP.TOTL,Uganda,UGA,31412520,32341728,33295738,34273295,35273570,36336539,37477356,38748299,40127085,41515395,42949080,44404611,45853778,47249585,..
"Population, total",SP.POP.TOTL,Ukraine,UKR,46053331,45870741,45706086,45593342,45489648,45272155,45154036,45004673,44831135,44622518,44386203,44132049,43822901,38000000,..
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,7992644,8481771,8575205,8664969,8751847,8835951,8916899,8994263,9068296,9140169,9211657,9287289,9365145,9441129,..
"Population, total",SP.POP.TOTL,United Kingdom,GBR,62276270,62766365,63258810,63700215,64128273,64602298,65116219,65611593,66058859,66460344,66836327,67081234,67026292,66971395,..
"Population, total",SP.POP.TOTL,United States,USA,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331511512,332031554,333287557,..
"Population, total",SP.POP.TOTL,Uruguay,URY,3344156,3352651,3361637,3371133,3381180,3391662,3402818,3413766,3422200,3427042,3428409,3429086,3426260,3422794,..
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,27767400,28562400,29339400,29774500,30243200,30757700,31298900,31847900,32388600,32956100,33580350,34232050,34915100,35648100,..
"Population, total",SP.POP.TOTL,Vanuatu,VUT,239689,245453,251294,257313,263534,269927,276438,283218,290239,297298,304404,311685,319137,326740,..
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,28327892,28715022,29096159,29470426,29838021,30193258,30529716,30741464,30563433,29825653,28971683,28490453,28199867,28301696,..
"Population, total",SP.POP.TOTL,Viet Nam,VNM,86482923,87411012,88349117,89301326,90267739,91235504,92191398,93126529,94033048,94914330,95776716,96648685,97468029,98186856,..
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,108404,108357,108290,108188,108041,107882,107712,107516,107281,107001,106669,106290,105870,105413,..
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,3689099,3786161,3882986,3979998,4076708,4173398,4270092,4367088,4454805,4569087,4685306,4803269,4922749,5043612,..
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,24029589,24743946,25475610,26223391,26984002,27753304,28516545,29274002,30034389,30790513,31546691,32284046,32981641,33696614,..
"Population, total",SP.POP.TOTL,Zambia,ZMB,13318087,13792086,14265814,14744658,15234976,15737793,16248230,16767761,17298054,17835893,18380477,18927715,19473125,20017675,..
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,12679810,12839771,13025785,13265331,13555422,13855753,14154937,14452704,14751101,15052184,15354608,15669666,15993524,16320537,..
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,
Last Updated: 03/28/2024,,,,,,,,,,,,,,,,,,
